village_id,first_stop,assigned_dh_sdh,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
427896,3865782811,3847461278,PHC,6.201666666666667,16.75166666666667,76.90333333333334,4.1233,11.1351,58.5464,True,True,PHC is closer and functional,76.90333333333334,102.28143333333334,12.880208,2.92732,4.098248,702.5568,146.36599999999999,878.196
427909,Village→DH/SDH,3847461278,DH/SDH,63.580000000000005,53.02833333333333,47.195,35.2702,28.2583,56.5737,True,True,Direct to DH/SDH,47.195,62.76935,12.446214000000001,2.828685,3.9601590000000004,678.8844,141.43425000000002,848.6055
427826,Village→DH/SDH,3847461278,DH/SDH,79.37333333333332,59.02833333333333,40.15333333333333,75.83439999999999,62.4217,49.146,True,True,Direct to DH/SDH,40.15333333333333,53.40393333333333,10.81212,2.4573,3.4402200000000005,589.752,122.86500000000001,737.19
427911,3178868133,3847461278,CHC,36.075,25.523333333333333,48.79,20.0752,13.0633,55.014,True,True,CHC is closer and functional,48.79,64.8907,12.10308,2.7507,3.8509800000000007,660.168,137.535,825.21
427906,3865782811,3847461278,PHC,2.546666666666667,13.096666666666666,73.24833333333332,1.6172,8.629100000000001,56.0403,True,True,PHC is closer and functional,73.24833333333332,97.42028333333332,12.328866,2.8020150000000004,3.9228210000000003,672.4836,140.10075,840.6045
427910,Village→DH/SDH,3847461278,DH/SDH,62.748333333333335,52.19666666666667,48.27833333333333,31.8684,24.8566,53.8942,True,True,Direct to DH/SDH,48.27833333333333,64.21018333333333,11.856724,2.69471,3.7725940000000002,646.7303999999999,134.7355,808.413
427827,Village→DH/SDH,3847461278,DH/SDH,79.37333333333332,59.02833333333333,40.15333333333333,75.83439999999999,62.4217,49.146,True,True,Direct to DH/SDH,40.15333333333333,53.40393333333333,10.81212,2.4573,3.4402200000000005,589.752,122.86500000000001,737.19
427917,3178868133,3847461278,CHC,32.25333333333334,21.701666666666664,52.611666666666665,18.5526,11.5408,56.5366,True,True,CHC is closer and functional,52.611666666666665,69.97351666666667,12.438052,2.82683,3.9575620000000002,678.4392,141.3415,848.049
427894,3865782811,3847461278,PHC,5.001666666666667,15.551666666666668,75.70333333333333,3.3261,10.338,57.7492,True,True,PHC is closer and functional,75.70333333333333,100.68543333333334,12.704824,2.8874600000000004,4.042444000000001,692.9904,144.373,866.238
427900,Village→DH/SDH,3847461278,DH/SDH,57.87166666666667,47.32,41.486666666666665,37.2023,30.1905,58.5058,True,True,Direct to DH/SDH,41.486666666666665,55.17726666666667,12.871276,2.9252900000000004,4.0954060000000005,702.0696,146.2645,877.587
427893,3178868133,3847461278,CHC,34.79,24.238333333333333,81.265,23.041400000000003,16.0295,61.3247,True,True,CHC is closer and functional,81.265,108.08245000000001,13.491434,3.0662350000000003,4.2927290000000005,735.8964,153.31175,919.8705
427908,3865782811,3847461278,PHC,2.546666666666667,13.096666666666666,73.24833333333332,1.6172,8.629100000000001,56.0403,True,True,PHC is closer and functional,73.24833333333332,97.42028333333332,12.328866,2.8020150000000004,3.9228210000000003,672.4836,140.10075,840.6045
427914,3178868133,3847461278,CHC,49.79666666666667,38.22,46.056666666666665,24.0864,18.1347,53.9624,True,True,CHC is closer and functional,46.056666666666665,61.25536666666667,11.871728000000001,2.6981200000000003,3.7773680000000005,647.5488,134.906,809.436
427823,3178868133,3847461278,CHC,42.645,31.06833333333333,43.245,21.230400000000003,15.2787,52.7987,True,True,CHC is closer and functional,43.245,57.51585,11.615713999999999,2.639935,3.6959090000000003,633.5844,131.99675,791.9804999999999
427885,3178868133,3847461278,CHC,20.94333333333333,10.391666666666667,54.93,13.7106,6.6988,34.4893,True,True,CHC is closer and functional,54.93,73.0569,7.587646,1.7244650000000001,2.414251,413.8716,86.22325000000001,517.3395
427901,Village→DH/SDH,3847461278,DH/SDH,57.73833333333334,47.18666666666666,41.35333333333333,37.0155,30.0036,58.3189,True,True,Direct to DH/SDH,41.35333333333333,54.99993333333333,12.830157999999999,2.9159450000000002,4.082323000000001,699.8268,145.79725,874.7835
427886,3865782811,3847461278,PHC,0.0,10.55,70.70166666666667,0.0,7.0118,54.4231,True,True,PHC is closer and functional,70.70166666666667,94.03321666666668,11.973082,2.721155,3.8096170000000003,653.0772,136.05775,816.3465
427898,3178868133,3847461278,CHC,39.57333333333334,29.021666666666665,86.04833333333333,26.2206,19.2088,64.504,True,True,CHC is closer and functional,86.04833333333333,114.44428333333333,14.190880000000002,3.2252000000000005,4.515280000000001,774.048,161.26000000000002,967.5600000000001
427902,Village→DH/SDH,3847461278,DH/SDH,65.24499999999999,54.693333333333335,48.86,35.911199999999994,28.8993,57.2147,True,True,Direct to DH/SDH,48.86,64.9838,12.587234,2.860735,4.005029,686.5764,143.03675,858.2205
427904,Village→DH/SDH,3847461278,DH/SDH,65.24499999999999,54.693333333333335,48.86,35.911199999999994,28.8993,57.2147,True,True,Direct to DH/SDH,48.86,64.9838,12.587234,2.860735,4.005029,686.5764,143.03675,858.2205
427897,3865782811,3847461278,PHC,6.201666666666667,16.75166666666667,76.90333333333334,4.1233,11.1351,58.5464,True,True,PHC is closer and functional,76.90333333333334,102.28143333333334,12.880208,2.92732,4.098248,702.5568,146.36599999999999,878.196
427895,3865782811,3847461278,PHC,6.173333333333333,16.723333333333333,76.875,4.105,11.1169,58.5281,True,True,PHC is closer and functional,76.875,102.24375,12.876182,2.9264050000000004,4.096967,702.3372,146.32025000000002,877.9215
427915,3178868133,3847461278,CHC,48.04833333333333,36.47166666666667,44.30833333333333,23.3877,17.436,53.2637,True,True,CHC is closer and functional,44.30833333333333,58.93008333333333,11.718014,2.6631850000000004,3.7284590000000004,639.1644,133.15925,798.9555
427888,3865782811,3847461278,PHC,1.5799999999999998,12.13,72.28166666666667,1.0507,8.0625,55.4738,True,True,PHC is closer and functional,72.28166666666667,96.13461666666667,12.204236,2.77369,3.883166,665.6856,138.68449999999999,832.107
427916,3178868133,3847461278,CHC,41.04,29.46333333333333,44.85,20.5881,14.6363,53.441,True,True,CHC is closer and functional,44.85,59.65050000000001,11.75702,2.6720500000000005,3.7408700000000006,641.292,133.60250000000002,801.615
427907,3865782811,3847461278,PHC,2.546666666666667,13.096666666666666,73.24833333333332,1.6172,8.629100000000001,56.0403,True,True,PHC is closer and functional,73.24833333333332,97.42028333333332,12.328866,2.8020150000000004,3.9228210000000003,672.4836,140.10075,840.6045
427825,Village→DH/SDH,3847461278,DH/SDH,79.37333333333332,59.02833333333333,40.15333333333333,75.83439999999999,62.4217,49.146,True,True,Direct to DH/SDH,40.15333333333333,53.40393333333333,10.81212,2.4573,3.4402200000000005,589.752,122.86500000000001,737.19
427913,3178868133,3847461278,CHC,34.55833333333333,24.006666666666668,50.306666666666665,19.471400000000003,12.4596,55.6178,True,True,CHC is closer and functional,50.306666666666665,66.90786666666666,12.235916000000001,2.7808900000000003,3.8932460000000004,667.4136000000001,139.0445,834.267
