lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
429725.0,,koraput,7367237349,Lamtaput,chc,20.58,18.23
429726.0,,koraput,7367237349,Lamtaput,chc,42.38,33.53
429397.0,,koraput,8671174475,Boipariguda,chc,60.06,46.44
429348.0,,koraput,8671174475,Boipariguda,chc,27.88,24.39
429411.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76
429490.0,,koraput,8671174475,Boipariguda,chc,37.09,36.98
429491.0,,koraput,8671174475,Boipariguda,chc,36.14,36.58
429492.0,,koraput,8671174475,Boipariguda,chc,36.17,36.59
429493.0,,koraput,8671174475,Boipariguda,chc,16.91,23.96
429494.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97
429495.0,,koraput,8671174475,Boipariguda,chc,20.38,23.4
429496.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97
429418.0,,koraput,8671174475,Boipariguda,chc,26.23,24.37
429417.0,,koraput,8671174475,Boipariguda,chc,12.64,17.91
429416.0,,koraput,8671174475,Boipariguda,chc,24.67,23.72
429415.0,,koraput,8671174475,Boipariguda,chc,14.6,19.53
429414.0,,koraput,8671174475,Boipariguda,chc,21.28,22.31
429413.0,,koraput,8671174475,Boipariguda,chc,20.24,21.88
429412.0,,koraput,8671174475,Boipariguda,chc,14.92,21.13
429410.0,,koraput,8671174475,Boipariguda,chc,48.98,41.91
429489.0,,koraput,8671174475,Boipariguda,chc,38.68,37.64
429487.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76
429485.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76
429484.0,,koraput,8671174475,Boipariguda,chc,38.68,37.64
429482.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97
429480.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97
429479.0,,koraput,8671174475,Boipariguda,chc,17.86,25.3
429476.0,,koraput,8671174475,Boipariguda,chc,17.86,25.3
429475.0,,koraput,8671174475,Boipariguda,chc,17.31,24.52
429474.0,,koraput,8671174475,Boipariguda,chc,16.74,23.71
429473.0,,koraput,8671174475,Boipariguda,chc,15.93,22.57
429471.0,,koraput,8671174475,Boipariguda,chc,16.5,23.37
429469.0,,koraput,8671174475,Boipariguda,chc,17.94,22.38
429461.0,,koraput,8671174475,Boipariguda,chc,20.07,23.27
429465.0,,koraput,8671174475,Boipariguda,chc,14.42,20.43
429452.0,,koraput,8671174475,Boipariguda,chc,13.37,18.94
429439.0,,koraput,8671174475,Boipariguda,chc,15.58,19.25
429438.0,,koraput,8671174475,Boipariguda,chc,15.58,19.25
429361.0,,koraput,8671174475,Boipariguda,chc,9.11,12.9
429310.0,,koraput,8671174475,Boipariguda,chc,10.94,9.18
429347.0,,koraput,8671174475,Boipariguda,chc,27.11,23.87
429334.0,,koraput,8671174475,Boipariguda,chc,11.6,9.29
429360.0,,koraput,8671174475,Boipariguda,chc,9.14,12.95
429300.0,,koraput,8671174475,Boipariguda,chc,26.16,23.24
429299.0,,koraput,8671174475,Boipariguda,chc,27.18,23.92
429346.0,,koraput,8671174475,Boipariguda,chc,27.74,24.3
429398.0,,koraput,8671174475,Boipariguda,chc,56.16,45.04
429399.0,,koraput,8671174475,Boipariguda,chc,56.16,45.04
429400.0,,koraput,8671174475,Boipariguda,chc,56.02,44.95
429497.0,,koraput,8671174475,Boipariguda,chc,22.86,24.44
429407.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429408.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429409.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76
429401.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76
429402.0,,koraput,8671174475,Boipariguda,chc,56.02,44.95
429404.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429405.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429406.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429390.0,,koraput,8671174475,Boipariguda,chc,10.42,14.76
429391.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429392.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429393.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429394.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429403.0,,koraput,8671174475,Boipariguda,chc,23.03,24.51
429396.0,,koraput,8671174475,Boipariguda,chc,56.02,44.95
429395.0,,koraput,8671174475,Boipariguda,chc,56.02,44.95
429353.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429352.0,,koraput,8671174475,Boipariguda,chc,56.16,45.04
429354.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429355.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429349.0,,koraput,8671174475,Boipariguda,chc,56.16,45.04
429350.0,,koraput,8671174475,Boipariguda,chc,56.16,45.04
429344.0,,koraput,8671174475,Boipariguda,chc,24.17,21.69
429301.0,,koraput,8671174475,Boipariguda,chc,24.17,21.69
429302.0,,koraput,8671174475,Boipariguda,chc,24.17,21.69
429345.0,,koraput,8671174475,Boipariguda,chc,24.17,21.69
429304.0,,koraput,8671174475,Boipariguda,chc,24.17,21.69
429303.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429342.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429343.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429351.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429356.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
429337.0,,koraput,8671174475,Boipariguda,chc,24.42,18.95
